序號,政事別名稱,年度預算數,本年分配數,年度預算分配百分比,本年支付數,分配預算支付百分比
1,行政支出,2456174202,2450334008,99.76,2369246636,96.69
2,立法支出,914920000,910986300,99.57,764109318,83.88
3,民政支出,10812185563,10811071278,99.99,10425045325,96.43
4,警政支出,14630046701,14629706125,100,14493037350,99.07
5,財務支出,2820580192,2819753925,99.97,2744784301,97.34
6,教育支出,63740650096,63737025000,99.99,63730571420,99.99
7,文化支出,10642841868,10640462545,99.98,9645260937,90.65
8,農業支出,10375961747,10374783279,99.99,9693042602,93.43
9,工業支出,1887513249,1887447953,100,1808319318,95.81
10,交通支出,23562590716,23561747883,100,22021910306,93.46
11,其他經濟服務支出,1561620043,1561221861,99.97,1511061405,96.79
12,社會保險支出,694100000,694100000,100,692695893,99.8
13,社會救助支出,9561742000,9561742000,100,8721289212,91.21
14,福利服務支出,17561992670,17561414880,100,16687955206,95.03
15,國民就業支出,1693259652,1693259652,100,1599486695,94.46
16,醫療保健支出,6304968645,6303846554,99.98,5941064294,94.25
17,環境保護支出,11363036089,11362680611,100,11138721530,98.03
18,社區發展支出,3259939050,3259939050,100,3084536520,94.62
19,退休撫卹給付支出,5397786000,5397786000,100,5040631994,93.38
20,債務付息支出,1526897000,1526897000,100,639632197,41.89
21,還本付息事務支出,8000000,8000000,100,0,0
22,其他支出,3465285517,1949107999,56.25,1645920941,84.44
23,第二預備金,740000000,448062632,60.55,438012305,97.76
